Party 1,Party 2,Metric,U-statistic,p-value,Effect Size,Significant
afd,die_gruenen,avg_tox_received,561.0,1.922267600608119e-08,0.8110119047619049,True
afd,cdu,avg_tox_received,562.0,1.7056946192722718e-08,0.8139880952380953,True
afd,csu,avg_tox_received,564.0,1.3413340721858704e-08,0.8199404761904763,True
afd,dielinke,avg_tox_received,510.0,4.941573855125696e-06,0.6592261904761906,True
afd,fdp,avg_tox_received,576.0,3.06366423367317e-09,0.8556547619047621,True
afd,spdde,avg_tox_received,496.0,1.8809117362480813e-05,0.6175595238095241,True
die_gruenen,cdu,avg_tox_received,240.0,0.3273658351959313,0.14136904761904762,False
die_gruenen,csu,avg_tox_received,286.0,0.9753257805563759,0.004464285714285717,False
die_gruenen,dielinke,avg_tox_received,156.0,0.006698271306476066,0.39136904761904767,True
die_gruenen,fdp,avg_tox_received,442.0,0.0015502078583888577,0.45684523809523814,True
die_gruenen,spdde,avg_tox_received,177.0,0.022698494819383522,0.3288690476190477,True
cdu,csu,avg_tox_received,313.0,0.6134313729551664,0.07291666666666669,False
cdu,dielinke,avg_tox_received,212.0,0.11952183383136966,0.22470238095238101,False
cdu,fdp,avg_tox_received,468.0,0.00021455889595658483,0.5342261904761906,True
cdu,spdde,avg_tox_received,218.0,0.15183902058357476,0.2068452380952381,False
csu,dielinke,avg_tox_received,184.0,0.03283181089903758,0.3080357142857143,True
csu,fdp,avg_tox_received,448.0,0.0010060313623902943,0.474702380952381,True
csu,spdde,avg_tox_received,200.0,0.07119688927525167,0.2604166666666667,False
dielinke,fdp,avg_tox_received,512.0,4.055993393566385e-06,0.6651785714285715,True
dielinke,spdde,avg_tox_received,294.0,0.9097070273165737,0.01636904761904763,False
fdp,spdde,avg_tox_received,77.0,1.421997349654185e-05,0.6264880952380952,True
