month,network_type,count,mean,std,min,25%,50%,75%,max
1,all,2.0,0.13791369181391733,0.028829526310347096,0.11752813826147492,0.12772091503769611,0.13791369181391733,0.14810646859013854,0.15829924536635975
1,climate,2.0,0.1741476633479231,0.039222499537605926,0.14641316794979573,0.16028041564885942,0.1741476633479231,0.18801491104698678,0.20188215874605048
1,migration,2.0,0.1741602552388562,0.03317618562914797,0.150701149406582,0.1624307023227191,0.1741602552388562,0.1858898081549933,0.19761936107113043
2,all,2.0,0.14776540009131678,0.010512638794823921,0.14033184191133202,0.1440486210013244,0.14776540009131678,0.15148217918130918,0.15519895827130156
2,climate,2.0,0.18266757875066653,0.011984323275211504,0.17419338249483268,0.1784304806227496,0.18266757875066653,0.18690467687858342,0.19114177500650034
2,migration,2.0,0.18361326374855313,0.011103611340593964,0.1757618248739593,0.17968754431125622,0.18361326374855313,0.18753898318585008,0.191464702623147
3,all,2.0,0.15899415706685627,0.037790815758162254,0.13227201497768828,0.14563308602227226,0.15899415706685627,0.17235522811144025,0.18571629915602422
3,climate,2.0,0.1942169674418624,0.041246022032100586,0.16505162556599431,0.17963429650392834,0.1942169674418624,0.20879963837979643,0.22338230931773045
3,migration,2.0,0.1920478685484387,0.039812363587853714,0.16389627628040293,0.1779720724144208,0.1920478685484387,0.20612366468245655,0.22019946081647443
4,all,2.0,0.1670429628159835,0.05926635096421795,0.1251353241530031,0.1460891434844933,0.1670429628159835,0.18799678214747367,0.20895060147896388
4,climate,2.0,0.22015536104638664,0.08399150816416572,0.1607643960614198,0.19045987855390323,0.22015536104638664,0.24985084353887005,0.2795463260313535
4,migration,2.0,0.21687994412444955,0.08122570311596816,0.1594446986445032,0.1881623213844764,0.21687994412444955,0.24559756686442274,0.27431518960439594
5,all,2.0,0.1571338652026093,0.027372981293266138,0.13777824450884832,0.14745605485572882,0.1571338652026093,0.1668116755494898,0.1764894858963703
5,climate,2.0,0.2003284677048285,0.030522933333677445,0.17874549456288027,0.1895369811338544,0.2003284677048285,0.21111995427580263,0.22191144084677675
5,migration,2.0,0.20236870708406302,0.034404736741727254,0.1780408844290497,0.19020479575655636,0.20236870708406302,0.21453261841156965,0.2266965297390763
6,all,2.0,0.1623400844556802,0.02177819553917665,0.1469405747079218,0.15464032958180102,0.1623400844556802,0.17003983932955943,0.17773959420343866
6,climate,2.0,0.2098569814468132,0.03856893565911591,0.1825846254991047,0.19622080347295895,0.2098569814468132,0.22349315942066747,0.23712933739452172
6,migration,2.0,0.21536231641663073,0.032787888028853324,0.19217777845064332,0.20377004743363702,0.21536231641663073,0.22695458539962443,0.23854685438261813
7,all,2.0,0.1735604051724007,0.06339341785997454,0.12873448952102032,0.1511474473467105,0.1735604051724007,0.1959733629980909,0.2183863208237811
7,climate,2.0,0.21768154628736858,0.07900372493983318,0.16181747664341575,0.18974951146539215,0.21768154628736858,0.24561358110934498,0.2735456159313214
7,migration,2.0,0.22088388486111693,0.07763786904181708,0.16598562118477495,0.19343475302294594,0.22088388486111693,0.24833301669928792,0.2757821485374589
8,all,2.0,0.1651224820552213,0.05281018809242524,0.12778003993933032,0.1464512609972758,0.1651224820552213,0.18379370311316676,0.20246492417111223
8,climate,2.0,0.20860923004141071,0.0699650420938488,0.159136474330848,0.18387285218612937,0.20860923004141071,0.23334560789669206,0.25808198575197344
8,migration,2.0,0.2081688939443478,0.06560382075702792,0.16177998741530655,0.18497444067982716,0.2081688939443478,0.2313633472088684,0.254557800473389
9,all,2.0,0.15306870611723844,0.039664153613095,0.12502191412739408,0.13904531012231627,0.15306870611723844,0.16709210211216063,0.18111549810708283
9,climate,2.0,0.19302072652167868,0.0539358819982219,0.15488229861145855,0.17395151256656863,0.19302072652167868,0.21208994047678875,0.23115915443189883
9,migration,2.0,0.19854676807157084,0.05260486074951076,0.16134951431221775,0.1799481411918943,0.19854676807157084,0.2171453949512474,0.23574402183092397
10,all,2.0,0.1515971549795067,0.028379359527885267,0.131529917411608,0.14156353619555737,0.1515971549795067,0.16163077376345608,0.17166439254740545
10,climate,2.0,0.17176010461187247,0.013430073944779727,0.16226360825368194,0.1670118564327772,0.17176010461187247,0.17650835279096772,0.18125660097006296
10,migration,2.0,0.17761012909587176,0.019841311173807056,0.16358020341724036,0.17059516625655605,0.17761012909587176,0.18462509193518745,0.19164005477450313
11,all,2.0,0.18706835821781637,0.06611856303829455,0.14031547393112806,0.1636919160744722,0.18706835821781637,0.2104448003611605,0.23382124250450464
11,climate,2.0,0.21225041979858725,0.050573938735098765,0.1764892447676859,0.1943698322831366,0.21225041979858725,0.2301310073140379,0.2480115948294886
11,migration,2.0,0.21781922198707993,0.05633380741673336,0.17798520475265076,0.19790221336986535,0.21781922198707993,0.23773623060429452,0.2576532392215091
12,all,2.0,0.18119269344264685,0.049779483507602765,0.14599328309045703,0.16359298826655194,0.18119269344264685,0.19879239861874176,0.21639210379483667
12,climate,2.0,0.21883481646527883,0.06232823786104067,0.17476209681432886,0.19679845663980383,0.21883481646527883,0.24087117629075383,0.2629075361162288
12,migration,2.0,0.22401329710358425,0.07289629758811425,0.1724678307556361,0.19824056392961018,0.22401329710358425,0.24978603027755833,0.2755587634515324
